,Total,Total,Total,V1,V1,V1,V2,V2,V2,V3,V3,V3,V4,V4,V4
,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted
"adjust_pt1 : -30, adjust_pt2 : 30",0.5772123685689271,84.0,0.6653684394049086,0.4136485870760482,0.0,0.4136485870760482,0.7774325020606272,0.0,0.7774325020606272,0.6340018119620588,0.0,0.6340018119620588,0.4389059936416416,84.0,0.6583589904624625
"adjust_pt1 : -20, adjust_pt2 : 30",0.6097680610553708,81.0,0.6990830935065192,0.4375007143977197,0.0,0.4375007143977197,0.838081796829228,0.0,0.838081796829228,0.6358109259040756,0.0,0.6358109259040756,0.4689831637465825,81.0,0.6911330834160163
"adjust_pt1 : -10, adjust_pt2 : 30",0.6790190431533728,8.0,0.6876966028102849,0.4687893812047263,0.0,0.4687893812047263,0.8474254749477821,0.0,0.8474254749477821,0.6432547101931165,0.0,0.6432547101931165,0.6246495692604186,8.0,0.6451298830066619
"adjust_pt1 : 0, adjust_pt2 : 30",0.6759475941811111,8.0,0.6845859020939687,0.5024593213769389,0.0,0.5024593213769389,0.8353117951693461,0.0,0.8353117951693461,0.6466325587735738,0.0,0.6466325587735738,0.6158446856027824,8.0,0.6360363146389392
"adjust_pt1 : 10, adjust_pt2 : 30",0.6706018886449759,9.0,0.6802585558414636,0.5446674662494609,0.0,0.5446674662494609,0.8173673013312296,0.0,0.8173673013312296,0.6350551933745132,1.0,0.6398662175667443,0.6114372556575316,8.0,0.631484378793844
"adjust_pt1 : 20, adjust_pt2 : 30",0.6699496419668917,9.0,0.6795969168112148,0.5844299965845681,0.0,0.5844299965845681,0.8064474738080862,0.0,0.8064474738080862,0.6355908767251959,1.0,0.6404059591246292,0.6078339246515989,8.0,0.6277629057877169
"adjust_pt1 : 30, adjust_pt2 : 30",0.6658904121451436,9.0,0.6754792340800336,0.6148280092859484,0.0,0.6148280092859484,0.7866639442771508,0.0,0.7866639442771508,0.6337979888180006,1.0,0.6385994887332885,0.6057694231415514,8.0,0.6256307157035694
