,Total,Total,Total,V1,V1,V1,V2,V2,V2,V3,V3,V3,V4,V4,V4
,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted,Mean IoU,No box,Mean IoU adjusted
"adjust_pt1 : -30, adjust_pt2 : 0",0.5894240588116046,79.0,0.673324059975779,0.005851014501242197,61.0,0.3627628990770162,0.8045470897721723,0.0,0.8045470897721723,0.5229592251204445,18.0,0.604813712530601,0.6084452684883532,0.0,0.6084452684883532
"adjust_pt1 : -10, adjust_pt2 : 0",0.5773891990894977,79.0,0.6595761301310659,0.005851014501242197,61.0,0.3627628990770162,0.8210821725471044,0.0,0.8210821725471044,0.517940293595634,18.0,0.5990092091149506,0.5685458889251457,0.0,0.5685458889251457
"adjust_pt1 : 0, adjust_pt2 : 0",0.5593328816659568,78.0,0.6378004442018286,0.018048412856255906,60.0,0.5595007985439331,0.7914770126385877,0.0,0.7914770126385877,0.5058269058525549,18.0,0.5849998128555635,0.5484796251481074,0.0,0.5484796251481074
"adjust_pt1 : 10, adjust_pt2 : 0",0.5489534696527072,71.0,0.6181820599641499,0.1659569365954432,48.0,0.7349521477798199,0.7413271428070902,4.0,0.7575310147810157,0.4971056295743454,18.0,0.5749134672468517,0.5277934335420044,1.0,0.5298961962254387
"adjust_pt1 : 30, adjust_pt2 : 0",0.5194562302792431,78.0,0.5923295863256117,0.18035653547659883,47.0,0.7454736799699418,0.6647237535638287,11.0,0.7062689881615681,0.48797183118290066,18.0,0.5643500308463112,0.5117045608481318,2.0,0.5157981973349168
"adjust_pt1 : 50, adjust_pt2 : 0",0.4937276730050685,91.0,0.5764702480390671,0.17960130067191715,47.0,0.7423520427772575,0.5876455237668866,24.0,0.6741700180638516,0.4800820901457636,18.0,0.5552253738207527,0.5085215599593658,2.0,0.5125897324390407
"adjust_pt1 : -50, adjust_pt2 : 10",0.47070189451853617,102.0,0.5609492502344962,0.0051444400474871385,61.0,0.3189552829442026,0.6056792092970835,0.0,0.6056792092970835,0.5326786020895489,14.0,0.5953466729236134,0.4523721413704092,27.0,0.5066567983348583
"adjust_pt1 : -30, adjust_pt2 : 10",0.5812856373566104,81.0,0.6664287415625516,0.005502040595463257,61.0,0.341126516918722,0.776709220773765,0.0,0.776709220773765,0.5240248620415728,18.0,0.606046144795906,0.6081509390117027,2.0,0.6130161465237963
"adjust_pt1 : -10, adjust_pt2 : 10",0.5946741491777761,79.0,0.6793214605021802,0.0055419450912575306,61.0,0.3436005956579669,0.8426177731225835,0.0,0.8426177731225835,0.5258118979678471,18.0,0.6081128906932493,0.5919734284897035,0.0,0.5919734284897035
"adjust_pt1 : 0, adjust_pt2 : 10",0.5770796795583029,79.0,0.6592225528648,0.0055419450912575306,61.0,0.3436005956579669,0.8129276703849321,0.0,0.8129276703849321,0.5225361436914105,18.0,0.6043244096605009,0.5714687887752625,0.0,0.5714687887752625
"adjust_pt1 : 10, adjust_pt2 : 10",0.5817911716106252,58.0,0.6403743104186396,0.24066682606305803,40.0,0.6782428734504363,0.7813209259586024,0.0,0.7813209259586024,0.514673341508463,18.0,0.5952309080054399,0.5530781428981848,0.0,0.5530781428981848
"adjust_pt1 : 30, adjust_pt2 : 10",0.5372550460052741,71.0,0.605008346656028,0.23195444932814785,42.0,0.7190587929172583,0.6886432049418814,9.0,0.723462243393999,0.49904387857020216,18.0,0.5771550943464078,0.5201960640278964,2.0,0.5243576325401196
"adjust_pt1 : 50, adjust_pt2 : 10",0.5093167306667206,83.0,0.5860377626909271,0.22426724693766323,43.0,0.7318194373755326,0.6142223268607571,20.0,0.6877818869638418,0.49085554880216475,18.0,0.5676851129625036,0.5113447413449056,2.0,0.5154354992756648
"adjust_pt1 : -50, adjust_pt2 : 30",0.36936206032022684,138.0,0.4721281174254513,0.0,62.0,,0.5032770899108658,0.0,0.5032770899108658,0.5187282222266542,12.0,0.5701723434392149,0.28203125743471,64.0,0.3780418982635475
"adjust_pt1 : -30, adjust_pt2 : 30",0.5137239527943166,87.0,0.5954314187780562,0.0,62.0,,0.6819290054315877,0.0,0.6819290054315877,0.5013673094832758,17.0,0.5748435531144456,0.5218190868833895,8.0,0.5389279094041564
"adjust_pt1 : -10, adjust_pt2 : 30",0.6496142389180206,19.0,0.6696836219089839,0.44122076958117884,0.0,0.44122076958117884,0.8432353332416945,0.0,0.8432353332416945,0.5134857761308862,18.0,0.5938574628296336,0.6290520802316953,1.0,0.6315582638182758
"adjust_pt1 : 0, adjust_pt2 : 30",0.6497987945806534,18.0,0.6687864216950231,0.48393215856254457,0.0,0.48393215856254457,0.8508994641482678,0.0,0.8508994641482678,0.5182367607040997,18.0,0.5993520797708284,0.6108133054122425,0.0,0.6108133054122425
"adjust_pt1 : 10, adjust_pt2 : 30",0.6402325479807565,18.0,0.658940641915259,0.5281922831629163,0.0,0.5281922831629163,0.827614012777479,0.0,0.827614012777479,0.5220019511343867,18.0,0.6037066043554212,0.591148547513638,0.0,0.591148547513638
"adjust_pt1 : 30, adjust_pt2 : 30",0.6122746914330498,19.0,0.6311904949082172,0.5795856528580715,0.0,0.5795856528580715,0.7685535363045929,0.0,0.7685535363045929,0.5154013328788355,18.0,0.5960728458511749,0.5554760132123379,1.0,0.5576890650578054
"adjust_pt1 : 50, adjust_pt2 : 30",0.5789219261448656,34.0,0.6117275019597413,0.5434066542914254,9.0,0.6356832559635544,0.7094268170183378,5.0,0.7289165647386218,0.5027725470580983,18.0,0.5814673805106702,0.5310068455103977,2.0,0.5352549002744809
"adjust_pt1 : -50, adjust_pt2 : 50",0.2562605295125354,193.0,0.3684108292765248,0.006689205702912108,60.0,0.20736537679027534,0.3350980667647298,0.0,0.3350980667647298,0.4855911905693069,7.0,0.5125684789342684,0.13812491320097064,126.0,0.2762498264019413
"adjust_pt1 : -30, adjust_pt2 : 50",0.42514307644813903,59.0,0.46876645298803504,0.3030301048656753,0.0,0.3030301048656753,0.5705515649014535,0.0,0.5705515649014535,0.4823738210370919,13.0,0.5346309849827768,0.3170792981426318,46.0,0.3878834132618603
"adjust_pt1 : -10, adjust_pt2 : 50",0.5958164649223254,20.0,0.6152241673627921,0.36088634425184624,0.0,0.36088634425184624,0.7699058364324965,0.0,0.7699058364324965,0.4828573094325698,17.0,0.5536208806425155,0.5840486978163938,3.0,0.5910854291153865
"adjust_pt1 : 0, adjust_pt2 : 50",0.6407352556720659,20.0,0.6616061109056837,0.39262565430083385,0.0,0.39262565430083385,0.8293543516770093,0.0,0.8293543516770093,0.49057016961062544,17.0,0.5624640737776998,0.641064544474699,3.0,0.6487882136852374
"adjust_pt1 : 10, adjust_pt2 : 50",0.6489685056143206,20.0,0.6701075448851453,0.4360072987808758,0.0,0.4360072987808758,0.8457839891041566,0.0,0.8457839891041566,0.48948799743606813,19.0,0.5710693303420795,0.6394844064031372,1.0,0.6420321530421935
"adjust_pt1 : 30, adjust_pt2 : 50",0.6407889489335441,18.0,0.6595133013374463,0.5308494118999658,0.0,0.5308494118999658,0.810970249896905,0.0,0.810970249896905,0.51191771915899,18.0,0.5920439708534406,0.609567605980961,0.0,0.609567605980961
"adjust_pt1 : 50, adjust_pt2 : 50",0.6198294238411128,20.0,0.6400193073538526,0.5824653185100894,0.0,0.5824653185100894,0.7595887148479175,0.0,0.7595887148479175,0.5169863752557697,18.0,0.5979059818175424,0.5795901880240557,2.0,0.5842269095282482
